flavour,user_name,rating,title,review_description,date,country,cleaned_reviews,afinn_score,bing_score,nrc_score,sentiment_label,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Peppermint Chocolate Mocha,Robin Frazier,5.0,Open,I buy this for my Mom every month. It’s disappointing that it’s open and some could be missing or poisoned. Who knows these days," May 24, 2023",United States 🇺🇸,i buy this for my mom every month. it’s disappointing that it’s open and some could be missing or poisoned. who knows these days,-6.0,-4.0,5.0,Very Negative,0.1,0.0,0.1,0.2,0.0,0.3,0.0,0.3,0.0,0.0
Chocolate Raspberry Truffle,Toadie & Boogs,5.0,Great raspberry favour,Wonderful full coffee and raspberry favour. And a great value," May 26, 2023",United States 🇺🇸,wonderful full coffee and raspberry favour. and a great value,9.0,7.0,5.0,Very Positive,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.2
Salted Caramel,Amazon Customer,4.0,Tastes okay,It does have a good flavor but it’s not a great flavor. I’m a coffee person so I need a great flavor in my coffee but it was a good purchase and I would buy them again I use them when I’m in a pinch for a coffee.," March 17, 2023",United States 🇺🇸,it does have a good flavor but it’s not a great flavor. i’m a coffee person so i need a great flavor in my coffee but it was a good purchase and i would buy them again i use them when i’m in a pinch for a coffee.,12.0,12.0,10.0,Very Positive,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
Salted Caramel,Polo Mayberry,4.0,😉 It's Good 👍,I drink it Errday!!🤪 😋," April 15, 2023",United States 🇺🇸,i drink it errday!!🤪 😋,0.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolate Raspberry Truffle,Deb Fisher,4.0,We had problems with the cups overflowing the coffee grounds into the cup.,I love this coffee and I continue to buy it. My problem is with the cups overflowing coffee grounds into my coffee cup and all over the machine," March 21, 2023",United States 🇺🇸,i love this coffee and i continue to buy it. my problem is with the cups overflowing coffee grounds into my coffee cup and all over the machine,1.0,1.0,9.0,Very Positive,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222
Salted Caramel,Blaze,3.0,Defective pods,This is my absolute favorite coffee but I have received a couple orders where the pods blow up and won’t filter through which creates a mess with my keurig and no morning coffee. Very disappointing!," June 16, 2023",United States 🇺🇸,this is my absolute favorite coffee but i have received a couple orders where the pods blow up and won’t filter through which creates a mess with my keurig and no morning coffee. very disappointing!,0.0,-1.0,7.0,Very Positive,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111
Salted Caramel,Kenneth M Huebner,4.0,Great cup of coffee,"I purchased the Caramel Vanilla flavor to make iced coffee with and it is great. It is just as good as the Keurig brand of the same flavor.
The only reason I didn't give it five stars is because the packaging is too tough. When I put it into my machine I have to push the k-cup by hand into the bottom needle. If I try and do it normally I feel like I am going to break my machine. Even doing it by hand I have to try several spots as the bottom will give away without actually being pierced.
My machine is only three months old and this is the only brand I have this issue with.
That aside the coffee on the inside is great."," November 7, 2022",United States 🇺🇸,i purchased the caramel vanilla flavor to make iced coffee with and it is great. it is just as good as the keurig brand of the same flavor. the only reason i didn't give it five stars is because the packaging is too tough. when i put it into my machine i have to push the k-cup by hand into the bottom needle. if i try and do it normally i feel like i am going to break my machine. even doing it by hand i have to try several spots as the bottom will give away without actually being pierced. my machine is only three months old and this is the only brand i have this issue with. that aside the coffee on the inside is great.,11.0,5.0,13.0,Very Positive,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.23529411764705882
Chocolate Peanut Buttercup,Bonnie,3.0,coffee,"was good, kinda of bland thou"," June 22, 2023",United States 🇺🇸,"was good, kinda of bland thou",3.0,0.0,1.0,Very Positive,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
Chocolate Raspberry Truffle,Amazon Customer,3.0,Bad cup material,Great flavor! I really liked the chocolate raspberry flavor but the k-cups are made of a thicker plastic. The thicker plastic causes the coffee maker to not work correctly. I tried it in both my Hamilton Beach flex brew and my keurig and both had troubles. The pins that puncture the k-cups aren't able to puncture it properly so it either breaks the seal on the top and spews coffee everywhere or can't make a big enough hole and then you end up with less coffee that is super strong.," April 16, 2023",United States 🇺🇸,great flavor! i really liked the chocolate raspberry flavor but the k-cups are made of a thicker plastic. the thicker plastic causes the coffee maker to not work correctly. i tried it in both my hamilton beach flex brew and my keurig and both had troubles. the pins that puncture the k-cups aren't able to puncture it properly so it either breaks the seal on the top and spews coffee everywhere or can't make a big enough hole and then you end up with less coffee that is super strong.,11.0,11.0,10.0,Very Positive,0.0,0.2,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.3
Cinnamon Churro,Debra P,3.0,Unnatural flavor taste,"This flavor was not exciting.
My favorite is Cinnabon and this was suppose to be a medium roast and like a cinnamon donut. Flavor and aroma were off, would not reorder."," May 29, 2023",United States 🇺🇸,"this flavor was not exciting. my favorite is cinnabon and this was suppose to be a medium roast and like a cinnamon donut. flavor and aroma were off, would not reorder.",7.0,4.0,4.0,Very Positive,0.0,0.125,0.0,0.0,0.25,0.0,0.375,0.0,0.125,0.125
Vanilla Pumpkin Spice,Cassie,5.0,The best tasting kcup,This kcup is delicious!! Hot and on ice," April 29, 2023",United States 🇺🇸,this kcup is delicious!! hot and on ice,3.0,0.0,1.0,Very Positive,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
Chocolate Raspberry Truffle,Naimah,3.0,"Intense Flavor, but nothing spectacular.","Recently Van Houtte K Cups Chocolate Raspberry seem to have been discontinued and I’m searching for an alternative option. The flavor was decent but much more intense compared to what I am use to. The flavor was not terrible and I did use the contents of the entire box however, I wouldn’t necessarily be compelled to repurchase them. This might be more suitable for someone who prefers a bolder, richer taste."," April 2, 2023",United States 🇺🇸,"recently van houtte k cups chocolate raspberry seem to have been discontinued and i’m searching for an alternative option. the flavor was decent but much more intense compared to what i am use to. the flavor was not terrible and i did use the contents of the entire box however, i wouldn’t necessarily be compelled to repurchase them. this might be more suitable for someone who prefers a bolder, richer taste.",1.0,-1.0,19.0,Very Positive,0.1,0.05,0.1,0.1,0.1,0.1,0.25,0.05,0.05,0.1
Salted Caramel,GR,3.0,Not that great,"First off it says it's a Macchiato coffee. Had to look that up. Its supposed to be a little like a latte with less milk so I was expecting it to look a little creamy. No, this was simply black. It smelled great brewing, but the proof was in the taste. Slightly bitter with a barely, barely hint of caramel. The price is great, but the coffee isn't."," March 27, 2023",United States 🇺🇸,"first off it says it's a macchiato coffee. had to look that up. its supposed to be a little like a latte with less milk so i was expecting it to look a little creamy. no, this was simply black. it smelled great brewing, but the proof was in the taste. slightly bitter with a barely, barely hint of caramel. the price is great, but the coffee isn't.",5.0,3.0,2.0,Very Positive,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
Chocolate Raspberry Truffle,TizMeRenee,5.0,Loved the taste,I loved the taste and the flavor. I like my coffee stronger so this was spot on. The flavors were subtle. The price was. Great at $16.99. Not sure if I will order again at the higher price.," March 24, 2023",United States 🇺🇸,i loved the taste and the flavor. i like my coffee stronger so this was spot on. the flavors were subtle. the price was. great at $16.99. not sure if i will order again at the higher price.,10.0,10.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cinnamon Churro,Muffy K,5.0,Yum,Good flavor and scent," April 23, 2023",United States 🇺🇸,good flavor and scent,3.0,3.0,5.0,Very Positive,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
Peppermint Chocolate Mocha,Real Person from the Real World,4.0,"Ain't Starbucks, but everyone is out of the overpriced Starbucks Peppermint Mocha K Cups","Yeah, I got the 80 pod pack ...Gotta hit that $25 level, since i am already over paying by staying inside and ordering online where all I can see is that .44 vs .75 ...if I go to eBay, I'll just end up over paying some enterprising individual who bought up the real Starbucks out of date 3 years old pods some store sold at discount, from earning a buck... but 80 pods is a rather abstract amount until you open the box.
Quite palatable, but interestingly, nothing anywhere on any of the ""buy me"" pages says whether they use natural or artificial flavoring (not that ""natural"" is necessarily what you think it is). As for clogging your pod brewer, that's usually the bits of chocolate in the pod if you get good stuff instead of ""flavored."" The bits clog up the teeny tubes in the brewer. Anyway, just run a water cycle, no pod! AFTER brewing a cup and you will be less likely to clog. Personally, i suggest we all band together and buy Starbucks stock when the market crashes, and then demand management increase manufacture of the more desirable flavor pods, at least for stockholders!"," August 19, 2021",United States 🇺🇸,"yeah, i got the 80 pod pack ...gotta hit that $25 level, since i am already over paying by staying inside and ordering online where all i can see is that .44 vs .75 ...if i go to ebay, i'll just end up over paying some enterprising individual who bought up the real starbucks out of date 3 years old pods some store sold at discount, from earning a buck... but 80 pods is a rather abstract amount until you open the box. quite palatable, but interestingly, nothing anywhere on any of the ""buy me"" pages says whether they use natural or artificial flavoring (not that ""natural"" is necessarily what you think it is). as for clogging your pod brewer, that's usually the bits of chocolate in the pod if you get good stuff instead of ""flavored."" the bits clog up the teeny tubes in the brewer. anyway, just run a water cycle, no pod! after brewing a cup and you will be less likely to clog. personally, i suggest we all band together and buy starbucks stock when the market crashes, and then demand management increase manufacture of the more desirable flavor pods, at least for stockholders!",8.0,6.0,23.0,Very Positive,0.06666666666666667,0.1,0.0,0.03333333333333333,0.06666666666666667,0.1,0.36666666666666664,0.0,0.06666666666666667,0.2
Chocolate Raspberry Truffle,Cheri D.,3.0,"The cups pop during brew, grounds everywhere",The flavor is perfect! But the cups explode during brew spewing grounds everywhere. It happens at home and at work. So it's not the coffee maker. Maybe they are defective cups. I might try again another time.," March 28, 2023",United States 🇺🇸,the flavor is perfect! but the cups explode during brew spewing grounds everywhere. it happens at home and at work. so it's not the coffee maker. maybe they are defective cups. i might try again another time.,0.0,0.0,7.0,Very Positive,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Chocolate Peanut Buttercup,W.M.BROWN,3.0,Taste was not to bad .3 stars,The taste was not bad it has a chemical smell that gave me a head ache ..," April 20, 2023",United States 🇺🇸,the taste was not bad it has a chemical smell that gave me a head ache ..,-5.0,-5.0,10.0,Neutral,0.2,0.0,0.2,0.1,0.0,0.3,0.0,0.2,0.0,0.0
Chocolate Raspberry Truffle,Dan N.,2.0,They Might taste good ... I may never know,"Got these in because other brand was discontinued. Everything was in order until I tried to make a cup.

First try, machine cut off after 5 seconds of brew cycle.

Hmm, maybe ran out of water...!? No.
Tried rotating cup .... Still shut off.

Cleaned out the brew chamber, insert new cup.. Tried again, still shut off.

Hmm, getting worried... Machine crap out..!?
No.

Tried another brand of coffee, not this flavor, but brewed fine.

Determined that if I shake the pod, then tap the pod on the counter.... I get about 30% succes rate.

Otherwise, they dont work.... Oh yeah, did I mention...two different brew machines, same issues."," June 8, 2023",United States 🇺🇸,"got these in because other brand was discontinued. everything was in order until i tried to make a cup. first try, machine cut off after 5 seconds of brew cycle. hmm, maybe ran out of water...!? no. tried rotating cup .... still shut off. cleaned out the brew chamber, insert new cup.. tried again, still shut off. hmm, getting worried... machine crap out..!? no. tried another brand of coffee, not this flavor, but brewed fine. determined that if i shake the pod, then tap the pod on the counter.... i get about 30% succes rate. otherwise, they dont work.... oh yeah, did i mention...two different brew machines, same issues.",-4.0,-2.0,5.0,Slightly Negative,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
Chocolate Peanut Buttercup,Shmtur,5.0,One of the stronger flavored coffees,"It seems to be getting harder to find good flavored kcups nowadays, everything seems much weaker than it was when keurigs were new. Drinking the peanut butter cup flavored crazy cups is like going back in time. There's an actual peanut butter flavor to the coffee! It's strong enough I actually don't like to have more than one in a row, but to me that's a positive because one good cup gives me my fill!"," January 28, 2023",United States 🇺🇸,"it seems to be getting harder to find good flavored kcups nowadays, everything seems much weaker than it was when keurigs were new. drinking the peanut butter cup flavored crazy cups is like going back in time. there's an actual peanut butter flavor to the coffee! it's strong enough i actually don't like to have more than one in a row, but to me that's a positive because one good cup gives me my fill!",12.0,12.0,16.0,Very Positive,0.1,0.15,0.0,0.05,0.1,0.15,0.15,0.05,0.1,0.15
Peppermint Chocolate Mocha,Patricia K. Teague,5.0,"I Love This Year 'Round, NOT Just At Christmas!","This is some of the YUMMIEST decaf coffee EVER. It's a tasty treat anytime, not just at Christmas. One note: I often select the 10 oz size on my coffee maker, and this coffee is still great at that size mug. (Some others taste weak - not Crazy Cups!)"," February 6, 2023",United States 🇺🇸,"this is some of the yummiest decaf coffee ever. it's a tasty treat anytime, not just at christmas. one note: i often select the 10 oz size on my coffee maker, and this coffee is still great at that size mug. (some others taste weak - not crazy cups!)",-1.0,-1.0,15.0,Very Positive,0.15,0.05,0.05,0.15,0.05,0.15,0.15,0.15,0.05,0.05
Frosted Oatmeal Cookie,K Rae,3.0,Not that great,Not that great," April 20, 2023",United States 🇺🇸,not that great,3.0,3.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolate Raspberry Truffle,David S. Canaday,5.0,Delish,Awesome awesome awesome," April 5, 2023",United States 🇺🇸,awesome awesome awesome,12.0,12.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salted Caramel,Stephanie,5.0,Yummy,I am obsessed with the brand of crazy cups coffee flavor is awesome. It doesn’t taste watered down and you don’t get coffee grains in your cup.," February 25, 2023",United States 🇺🇸,i am obsessed with the brand of crazy cups coffee flavor is awesome. it doesn’t taste watered down and you don’t get coffee grains in your cup.,4.0,0.0,4.0,Very Positive,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
Chocolate Raspberry Truffle,AshGray,5.0,Delicious and eco-friendly as well!,"I received a sampler of these months ago for my birthday from my housemate. I loved them! I just found them on Amazon and decided to 'experiment' with flavors. I ordered the chocolate variety pack and the chocolate raspberry truffle pack (my favorite and was my gift previously mentioned!) They are amazing! The description on the lid of each pod label is 100% correct; whatever it says that is the flavor, by golly it is -- some other brands' flavors listed is nowhere near the a actual flavor. I like the fact that the pods themselves are biodegradable and compost friendly which is very eco-friendly. I use them in my Keurig and my housemate opens them up and makes the coffee in his French press. The flavor isn't bitter or artificial tasting like other I have tried, they have a nice smooth flavor and you really don't need to add any creamer or sugar to enhance the flavor. I like the chocolate raspberry truffle with a little squirt of Redi-Whip cream on top and some chocolate sprinkles or powder as well. I served this to company and they thought I brewed this in a cappuccino machine. I showed them the pods and now they will order some as well. They are great to brew in my travel mug and out the door I go. Thank you for an excellent product."," November 17, 2020",United States 🇺🇸,"i received a sampler of these months ago for my birthday from my housemate. i loved them! i just found them on amazon and decided to 'experiment' with flavors. i ordered the chocolate variety pack and the chocolate raspberry truffle pack (my favorite and was my gift previously mentioned!) they are amazing! the description on the lid of each pod label is 100% correct; whatever it says that is the flavor, by golly it is -- some other brands' flavors listed is nowhere near the a actual flavor. i like the fact that the pods themselves are biodegradable and compost friendly which is very eco-friendly. i use them in my keurig and my housemate opens them up and makes the coffee in his french press. the flavor isn't bitter or artificial tasting like other i have tried, they have a nice smooth flavor and you really don't need to add any creamer or sugar to enhance the flavor. i like the chocolate raspberry truffle with a little squirt of redi-whip cream on top and some chocolate sprinkles or powder as well. i served this to company and they thought i brewed this in a cappuccino machine. i showed them the pods and now they will order some as well. they are great to brew in my travel mug and out the door i go. thank you for an excellent product.",32.0,26.0,58.0,Very Positive,0.01694915254237288,0.1694915254237288,0.01694915254237288,0.01694915254237288,0.1864406779661017,0.03389830508474576,0.288135593220339,0.01694915254237288,0.05084745762711865,0.2033898305084746
Vanilla Pumpkin Spice,MIP,5.0,100mg CAFFEINE!!!,"I bought these intending to drink them in the evening like hot cocoa. They are basically hot cocoa without the chocolate. I absolutely adore the taste. They are VERY sweet, so if you don't like super sweet things you may not like them. However, I was surprised to see when they arrived that they contain 100mg CAFFEINE! It's fine, I'll just drink them in the mornings. However it's in pretty small print so I could have missed it, which would have been bad! I checked the listing again and the text about the caffeine is indeed there on one of the images, however if I missed it others may too. So I just wanted to leave a warning about the CAFFEINE."," July 29, 2022",United States 🇺🇸,"i bought these intending to drink them in the evening like hot cocoa. they are basically hot cocoa without the chocolate. i absolutely adore the taste. they are very sweet, so if you don't like super sweet things you may not like them. however, i was surprised to see when they arrived that they contain 100mg caffeine! it's fine, i'll just drink them in the mornings. however it's in pretty small print so i could have missed it, which would have been bad! i checked the listing again and the text about the caffeine is indeed there on one of the images, however if i missed it others may too. so i just wanted to leave a warning about the caffeine.",8.0,7.0,21.0,Very Positive,0.08571428571428572,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.14285714285714285,0.08571428571428572,0.14285714285714285,0.05714285714285714,0.11428571428571428,0.14285714285714285
Chocolate Raspberry Truffle,Doug Campbell,2.0,Tastes great but kcup quality lacks,"I bought a box of 22 kcups. I love the flavor, but half…yes half of the kcups failed and filled my cup with coffee grounds. Ive tried everything I can think of, but it’s always a gamble whether I’m gonna get a cup of coffee or a cup of grounds."," June 19, 2023",United States 🇺🇸,"i bought a box of 22 kcups. i love the flavor, but half…yes half of the kcups failed and filled my cup with coffee grounds. ive tried everything i can think of, but it’s always a gamble whether i’m gonna get a cup of coffee or a cup of grounds.",2.0,1.0,3.0,Very Positive,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Chocolate Peanut Buttercup,Amazon Customer,5.0,Works perfectly in Keurig 2.0,"I read the reviews before buying and was concerned I would have “exploding cups” or not be able to brew as the 2.0 is notorious for not accepting off brand k-cups.

I rec’d the correct flavor and immediately opened the box. I assume the company has listened to the customer’s feedback as the cups are no longer a thick plastic, at least my box wasn’t. The k-cups were the same as any other.

I popped it in my Keurig and it brewed a perfect cup. My home smelled like a Reese’s cup and the coffee was delicious. I will say the coffee was a little strong compared to other medium roasts because they put more coffee in their pods than other brands, but it’s nothing crazy.

Overall, don’t be afraid to buy, seems like the prior issues have been fixed."," June 4, 2022",United States 🇺🇸,"i read the reviews before buying and was concerned i would have “exploding cups” or not be able to brew as the 2.0 is notorious for not accepting off brand k-cups. i rec’d the correct flavor and immediately opened the box. i assume the company has listened to the customer’s feedback as the cups are no longer a thick plastic, at least my box wasn’t. the k-cups were the same as any other. i popped it in my keurig and it brewed a perfect cup. my home smelled like a reese’s cup and the coffee was delicious. i will say the coffee was a little strong compared to other medium roasts because they put more coffee in their pods than other brands, but it’s nothing crazy. overall, don’t be afraid to buy, seems like the prior issues have been fixed.",4.0,5.0,11.0,Very Positive,0.047619047619047616,0.09523809523809523,0.0,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.0,0.14285714285714285
Chocolate Peanut Buttercup,Angela Parsons,5.0,Taste great,I bought these cause I love the chocolate flavored for coffee. These tastes good and smells great. Will buy again for sure," February 15, 2023",United States 🇺🇸,i bought these cause i love the chocolate flavored for coffee. these tastes good and smells great. will buy again for sure,9.0,6.0,11.0,Very Positive,0.0,0.18181818181818182,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.09090909090909091,0.18181818181818182
Chocolate Raspberry Truffle,m.regan,5.0,Love the flavor....,I usually don`t buy flavored coffee but this is really great coffee.," March 2, 2023",United States 🇺🇸,i usually don`t buy flavored coffee but this is really great coffee.,3.0,3.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Caramel Truffle Sundae,Lisa Lynn,4.0,Smells great!,"Smells awesome, tastes great ☕"," November 13, 2022",United States 🇺🇸,"smells awesome, tastes great ☕",7.0,3.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salted Caramel,turtle77073,5.0,Yum,"have ordered crazy cups about 8 separate times and several different flavors. I have never had any issue with a “blow out” or grounds in my coffee. I have only drank it hot but they have all been amazing. My daughter is a caramel and Carmel macchiato nut. She loves these!
To give a balanced review: the tops are a little tougher than some other k-cups I have used but this has never caused an issue. The boxes have come damaged several times. The sides are crushed in because whoever packs them (Amazon?) sometimes puts them in a bag mailer. So of course they are going to get smashed. Never bothered the actual product but if you were thinking about a gift I would take that into consideration.
I had to share the love because when I looked at the reviews there were quite a few negative reviews. Bottom line- I have never had a bad experience with these and would recommend to anyone."," October 4, 2021",United States 🇺🇸,have ordered crazy cups about 8 separate times and several different flavors. i have never had any issue with a “blow out” or grounds in my coffee. i have only drank it hot but they have all been amazing. my daughter is a caramel and carmel macchiato nut. she loves these! to give a balanced review: the tops are a little tougher than some other k-cups i have used but this has never caused an issue. the boxes have come damaged several times. the sides are crushed in because whoever packs them (amazon?) sometimes puts them in a bag mailer. so of course they are going to get smashed. never bothered the actual product but if you were thinking about a gift i would take that into consideration. i had to share the love because when i looked at the reviews there were quite a few negative reviews. bottom line- i have never had a bad experience with these and would recommend to anyone.,4.0,-1.0,35.0,Very Positive,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.1388888888888889,0.027777777777777776,0.05555555555555555
Chocolate Raspberry Truffle,Kathy I.,4.0,Good flavor,Really great flavor!," November 3, 2022",United States 🇺🇸,really great flavor!,3.0,3.0,0.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolate Raspberry Truffle,Devilskut,3.0,Like the brand,Great brand just wasn’t crazy about this flavor," February 26, 2023",United States 🇺🇸,great brand just wasn’t crazy about this flavor,1.0,1.0,4.0,Very Positive,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
Peppermint Chocolate Mocha,Margaret Perkins,3.0,Where’s the mint?,"Unfortunately, the mint flavor is very week."," February 20, 2023",United States 🇺🇸,"unfortunately, the mint flavor is very week.",0.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
